sequence,color_space,umap_components,original_feature_dim,umap_applied,crop_center_ratio,crop_method,experiment_stage,positive_label,negative_label,true_positive,false_positive,true_negative,false_negative,accuracy,num_samples
F_20200220_1_0000_0030,rgb,864,864,False,0.2,center,ratio_sweep,1,0,121,25,140,40,0.8006134969325154,326
F_20200220_1_0000_0030,h,800,800,False,0.2,center,ratio_sweep,1,0,121,25,140,40,0.8006134969325154,326
F_20200220_1_0030_0060,rgb,864,864,False,0.2,center,ratio_sweep,1,0,94,17,128,45,0.7816901408450704,284
F_20200220_1_0030_0060,h,800,800,False,0.2,center,ratio_sweep,1,0,94,17,128,45,0.7816901408450704,284
F_20200220_1_0060_0090,rgb,864,864,False,0.2,center,ratio_sweep,1,0,100,21,136,49,0.7712418300653595,306
F_20200220_1_0060_0090,h,800,800,False,0.2,center,ratio_sweep,1,0,100,21,136,49,0.7712418300653595,306
F_20200220_1_0090_0120,rgb,864,864,False,0.2,center,ratio_sweep,1,0,103,16,121,33,0.8205128205128205,273
F_20200220_1_0090_0120,h,800,800,False,0.2,center,ratio_sweep,1,0,103,16,121,33,0.8205128205128205,273
F_20200220_1_0120_0150,rgb,864,864,False,0.2,center,ratio_sweep,1,0,76,13,98,46,0.7467811158798283,233
F_20200220_1_0120_0150,h,800,800,False,0.2,center,ratio_sweep,1,0,76,13,98,46,0.7467811158798283,233
F_20200220_1_0150_0180,h,800,800,False,0.2,center,ratio_sweep,1,0,33,9,57,24,0.7317073170731707,123
F_20200220_1_0150_0180,rgb,864,864,False,0.2,center,ratio_sweep,1,0,33,9,57,24,0.7317073170731707,123
F_20200220_1_0330_0360,rgb,864,864,False,0.2,center,ratio_sweep,1,0,66,11,82,34,0.7668393782383419,193
F_20200220_1_0330_0360,h,800,800,False,0.2,center,ratio_sweep,1,0,66,11,82,34,0.7668393782383419,193
F_20200220_1_0360_0390,rgb,864,864,False,0.2,center,ratio_sweep,1,0,52,14,85,51,0.6782178217821783,202
F_20200220_1_0360_0390,h,800,800,False,0.2,center,ratio_sweep,1,0,52,14,85,51,0.6782178217821783,202
F_20200220_1_0390_0420,h,800,800,False,0.2,center,ratio_sweep,1,0,73,13,102,54,0.7231404958677686,242
F_20200220_1_0390_0420,rgb,864,864,False,0.2,center,ratio_sweep,1,0,73,13,102,54,0.7231404958677686,242
F_20200220_1_0420_0450,h,800,800,False,0.2,center,ratio_sweep,1,0,94,16,122,62,0.7346938775510204,294
F_20200220_1_0420_0450,rgb,864,864,False,0.2,center,ratio_sweep,1,0,94,16,122,62,0.7346938775510204,294
F_20200220_1_0450_0480,rgb,864,864,False,0.2,center,ratio_sweep,1,0,89,11,138,74,0.7275641025641025,312
F_20200220_1_0450_0480,h,800,800,False,0.2,center,ratio_sweep,1,0,89,11,138,74,0.7275641025641025,312
F_20200220_1_0480_0510,h,800,800,False,0.2,center,ratio_sweep,1,0,62,45,102,98,0.5342019543973942,307
F_20200220_1_0480_0510,rgb,864,864,False,0.2,center,ratio_sweep,1,0,62,45,102,98,0.5342019543973942,307
F_20200220_1_0510_0540,rgb,864,864,False,0.2,center,ratio_sweep,1,0,59,18,73,55,0.6439024390243903,205
F_20200220_1_0510_0540,h,800,800,False,0.2,center,ratio_sweep,1,0,59,18,73,55,0.6439024390243903,205
F_20200220_1_0540_0570,h,800,800,False,0.2,center,ratio_sweep,1,0,92,84,8,9,0.5181347150259067,193
F_20200220_1_0540_0570,rgb,864,864,False,0.2,center,ratio_sweep,1,0,92,84,8,9,0.5181347150259067,193
F_20200220_1_0570_0600,rgb,864,864,False,0.2,center,ratio_sweep,1,0,16,8,56,60,0.5142857142857142,140
F_20200220_1_0570_0600,h,800,800,False,0.2,center,ratio_sweep,1,0,16,8,56,60,0.5142857142857142,140
F_20200220_1_0600_0630,rgb,864,864,False,0.2,center,ratio_sweep,1,0,28,18,119,104,0.5464684014869888,269
F_20200220_1_0600_0630,h,800,800,False,0.2,center,ratio_sweep,1,0,28,18,119,104,0.5464684014869888,269
F_20200220_1_0630_0660,rgb,864,864,False,0.2,center,ratio_sweep,1,0,38,29,88,90,0.5142857142857142,245
F_20200220_1_0630_0660,h,800,800,False,0.2,center,ratio_sweep,1,0,38,29,88,90,0.5142857142857142,245
F_20200220_1_0660_0690,h,800,800,False,0.2,center,ratio_sweep,1,0,45,20,96,53,0.6588785046728972,214
F_20200220_1_0660_0690,rgb,864,864,False,0.2,center,ratio_sweep,1,0,45,20,96,53,0.6588785046728972,214
F_20200220_1_0690_0720,h,800,800,False,0.2,center,ratio_sweep,1,0,78,17,130,63,0.7222222222222222,288
F_20200220_1_0690_0720,rgb,864,864,False,0.2,center,ratio_sweep,1,0,78,17,130,63,0.7222222222222222,288
F_20200220_1_0720_0750,rgb,864,864,False,0.2,center,ratio_sweep,1,0,76,70,84,81,0.5144694533762058,311
F_20200220_1_0720_0750,h,800,800,False,0.2,center,ratio_sweep,1,0,76,70,84,81,0.5144694533762058,311
F_20200220_1_0750_0780,h,800,800,False,0.2,center,ratio_sweep,1,0,24,18,122,105,0.5427509293680297,269
F_20200220_1_0750_0780,rgb,864,864,False,0.2,center,ratio_sweep,1,0,24,18,122,105,0.5427509293680297,269
F_20200220_1_0780_0810,h,800,800,False,0.2,center,ratio_sweep,1,0,50,43,77,80,0.508,250
F_20200220_1_0780_0810,rgb,864,864,False,0.2,center,ratio_sweep,1,0,50,42,78,80,0.512,250
F_20200220_1_0810_0840,h,800,800,False,0.2,center,ratio_sweep,1,0,61,48,79,68,0.546875,256
F_20200220_1_0810_0840,rgb,864,864,False,0.2,center,ratio_sweep,1,0,61,48,79,68,0.546875,256
F_20200220_1_0840_0870,h,800,800,False,0.2,center,ratio_sweep,1,0,89,68,72,50,0.5770609318996416,279
F_20200220_1_0840_0870,rgb,864,864,False,0.2,center,ratio_sweep,1,0,89,68,72,50,0.5770609318996416,279
F_20200220_1_0870_0900,h,800,800,False,0.2,center,ratio_sweep,1,0,49,40,68,70,0.5154185022026432,227
F_20200220_1_0870_0900,rgb,864,864,False,0.2,center,ratio_sweep,1,0,49,40,68,70,0.5154185022026432,227
F_20200220_1_0000_0030,rgb,864,864,False,0.4,center,ratio_sweep,1,0,104,92,73,60,0.5379939209726444,329
F_20200220_1_0000_0030,h,800,800,False,0.4,center,ratio_sweep,1,0,104,92,73,60,0.5379939209726444,329
F_20200220_1_0030_0060,h,800,800,False,0.4,center,ratio_sweep,1,0,97,77,88,68,0.5606060606060606,330
F_20200220_1_0030_0060,rgb,864,864,False,0.4,center,ratio_sweep,1,0,97,77,88,68,0.5606060606060606,330
F_20200220_1_0060_0090,rgb,864,864,False,0.4,center,ratio_sweep,1,0,98,70,95,67,0.5848484848484848,330
F_20200220_1_0060_0090,h,800,800,False,0.4,center,ratio_sweep,1,0,98,70,95,67,0.5848484848484848,330
F_20200220_1_0090_0120,rgb,864,864,False,0.4,center,ratio_sweep,1,0,76,61,104,89,0.5454545454545454,330
F_20200220_1_0090_0120,h,800,800,False,0.4,center,ratio_sweep,1,0,76,61,104,89,0.5454545454545454,330
F_20200220_1_0120_0150,rgb,864,864,False,0.4,center,ratio_sweep,1,0,88,64,101,76,0.574468085106383,329
F_20200220_1_0120_0150,h,800,800,False,0.4,center,ratio_sweep,1,0,88,64,101,76,0.574468085106383,329
F_20200220_1_0150_0180,h,800,800,False,0.4,center,ratio_sweep,1,0,42,42,57,53,0.5103092783505154,194
